jurisdiction,date,deaths,cause
United States,2014-11-01,11261,heart
United States,2014-11-01,49193,all
United States,2014-11-01,45349,natural
United States,2014-11-08,11554,cancer
United States,2014-11-08,11923,heart
United States,2014-11-08,51214,all
United States,2014-11-08,47194,natural
United States,2014-11-15,11440,cancer
United States,2014-11-15,11963,heart
United States,2014-11-15,50735,all
United States,2014-11-15,46857,natural
United States,2014-11-22,11768,cancer
United States,2014-11-22,12278,heart
United States,2014-11-22,52722,all
United States,2014-11-22,48725,natural
United States,2014-11-29,11351,cancer
United States,2014-11-29,12479,heart
United States,2014-11-29,52075,all
United States,2014-11-29,48109,natural
United States,2014-12-06,11491,cancer
United States,2014-12-06,12401,heart
United States,2014-12-06,52979,all
United States,2014-12-06,49005,natural
United States,2014-12-13,11585,cancer
United States,2014-12-13,12580,heart
United States,2014-12-13,53714,all
United States,2014-12-13,49742,natural
United States,2014-12-20,11632,cancer
United States,2014-12-20,13057,heart
United States,2014-12-20,54861,all
United States,2014-12-20,50882,natural
United States,2014-12-27,11511,cancer
United States,2014-12-27,13611,heart
United States,2014-12-27,56239,all
United States,2014-12-27,52350,natural
United States,2015-01-03,11681,cancer
United States,2015-01-03,14421,heart
United States,2015-01-03,59457,all
United States,2015-01-03,55306,natural
United States,2015-01-10,11865,cancer
United States,2015-01-10,14855,heart
United States,2015-01-10,61763,all
United States,2015-01-10,57636,natural
United States,2015-01-17,11926,cancer
United States,2015-01-17,14527,heart
United States,2015-01-17,61163,all
United States,2015-01-17,57064,natural
United States,2015-01-24,11664,cancer
United States,2015-01-24,13936,heart
United States,2015-01-24,58652,all
United States,2015-01-24,54617,natural
United States,2015-01-31,11727,cancer
United States,2015-01-31,13492,heart
United States,2015-01-31,57297,all
United States,2015-01-31,53445,natural
United States,2015-02-07,11667,cancer
United States,2015-02-07,13843,heart
United States,2015-02-07,57367,all
United States,2015-02-07,53260,natural
United States,2015-02-14,11579,cancer
United States,2015-02-14,13426,heart
United States,2015-02-14,56668,all
United States,2015-02-14,52717,natural
United States,2015-02-21,11426,cancer
United States,2015-02-21,13637,heart
United States,2015-02-21,56678,all
United States,2015-02-21,52648,natural
United States,2015-02-28,11554,cancer
United States,2015-02-28,13468,heart
United States,2015-02-28,56334,all
United States,2015-02-28,52403,natural
United States,2015-03-07,11407,cancer
United States,2015-03-07,13612,heart
United States,2015-03-07,56509,all
United States,2015-03-07,52369,natural
United States,2015-03-14,11577,cancer
